trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.9836548768571569}",35,9,-206.46601417561237,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 4}",1
43,False,"{'a': 0.7, 'e': 0.9828501448771174}",20,0,-131.4499061301484,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.7, 'e': 0.9820262472388116}",20,0,-66.7640471639235,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.981183200008311}",25,0,-184.34100394904672,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
46,False,"{'a': 0.7, 'e': 0.9803210196251056}",20,0,-185.8663168261601,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
47,False,"{'a': 0.7, 'e': 0.9794397229017835}",20,0,-43.768801383985334,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.9785393270237027}",20,0,-95.99259955404169,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.9776198495486567}",25,8,-96.19072448112595,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.7, 'e': 0.9766813084065314}",25,0,-19.217935068378686,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.975723721898956}",25,5,-50.648290878633915,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.9747471086989458}",20,0,-113.65180364667886,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.7, 'e': 0.9737514878505379}",20,0,-84.96605516418076,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.7, 'e': 0.9727368787684205}",20,0,-129.4172410685586,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.7, 'e': 0.9717033012375539}",20,0,-100.48155921626554,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.9706507754127842}",30,0,-147.43366219774157,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.7, 'e': 0.9695793218184514}",30,0,-131.4931426922523,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.9684889613479881}",20,0,-96.94204061652071,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.9673797152635129}",20,0,-29.07164088166929,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.9662516051954151}",20,0,-195.3015094183328,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
61,False,"{'a': 0.7, 'e': 0.9651046531419333}",20,7,-81.92251412128344,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
62,False,"{'a': 0.7, 'e': 0.9639388814687266}",30,0,-188.10855307732172,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.7, 'e': 0.9627543129084378}",20,0,-68.0705759802028,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.7, 'e': 0.9615509705602511}",25,0,-95.69981057368088,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.9603288778894405}",30,0,-49.30875921581795,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.9590880587269133}",25,0,-53.911451482463626,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.9578285372687445}",20,0,-85.53562917172341,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.9565503380757058}",25,0,-32.98576058967078,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.9552534860727859}",20,0,-89.34602489940855,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.9539380065487052}",20,0,-108.43284897584202,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.952603925155422}",30,0,-79.49906858349289,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.7, 'e': 0.9512512679076327}",20,0,-178.44153245218234,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
73,False,"{'a': 0.7, 'e': 0.9498800611822643}",20,0,-174.5396975334567,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
74,False,"{'a': 0.7, 'e': 0.9484903317179602}",20,0,-126.89813828006665,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.7, 'e': 0.9470821066145585}",25,0,-120.41157602199918,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.7, 'e': 0.9456554133325642}",25,15,-12.32304484600465,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.9442102796926131}",20,0,-142.22547116093617,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
78,False,"{'a': 0.7, 'e': 0.9427467338749292}",20,0,-76.00648168638217,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.7, 'e': 0.941264804418776}",20,0,-53.367321616262046,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.939764520221899}",25,0,-44.98517438029833,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.7, 'e': 0.9382459105399631}",25,0,-97.85462509714984,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.936709004985981}",25,0,-56.333629381124005,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.7, 'e': 0.935153833529737}",25,1,-165.02649112001546,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 3}",1
84,False,"{'a': 0.7, 'e': 0.9335804264972017}",30,0,-84.00401936392123,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.7, 'e': 0.9319888145699412}",20,0,-129.6902458583824,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.7, 'e': 0.9303790287845182}",35,0,-109.06791292964365,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.7, 'e': 0.9287511005318871}",20,0,-45.130162245726545,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.7, 'e': 0.9271050615567824}",25,0,-124.65162926250558,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
89,False,"{'a': 0.7, 'e': 0.9254409439570986}",25,0,-143.43131591914218,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.9237587801832653}",25,0,-45.695793369405294,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.9220586030376136}",25,2,-157.67668626338553,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 3}",1
92,False,"{'a': 0.7, 'e': 0.920340445673737}",20,5,-71.53473984858317,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.7, 'e': 0.9186043415958447}",20,0,-109.15333728362819,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.7, 'e': 0.9168503246581083}",25,0,-47.471315969846266,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.7, 'e': 0.9150784290640018}",25,4,-75.77196638470916,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.7, 'e': 0.9132886893656342}",20,0,-46.349472558683495,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
97,False,"{'a': 0.7, 'e': 0.9114811404630762}",25,13,-9.715390396143615,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.9096558176036791}",25,0,-88.6799334556466,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.7, 'e': 0.9078127563813881}",30,0,-180.81146376242305,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
100,False,"{'a': 0.7, 'e': 0.9059519927360482}",20,0,-73.52798042821152,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.7, 'e': 0.9040735629527025}",20,0,-57.63663587306884,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
102,False,"{'a': 0.7, 'e': 0.9021775036608854}",20,0,-83.06488307019666,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.7, 'e': 0.9002638518339087}",20,1,-85.33940247441619,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
104,False,"{'a': 0.7, 'e': 0.8983326447881391}",20,9,-19.486859654197648,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.8963839201822725}",20,0,-189.41489271757234,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
106,False,"{'a': 0.7, 'e': 0.894417716016598}",20,0,-98.86204630428021,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.7, 'e': 0.8924340706322579}",20,0,-98.78371893723649,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
108,False,"{'a': 0.7, 'e': 0.8904330227104993}",20,0,-104.33170724291784,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.7, 'e': 0.8884146112719207}",25,0,-160.9497552254278,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
110,False,"{'a': 0.7, 'e': 0.8863788756757103}",25,0,-197.57917819956333,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
111,False,"{'a': 0.7, 'e': 0.8843258556188786}",25,0,-98.46567798802482,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.7, 'e': 0.882255591135485}",30,0,-104.71361291796228,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
113,False,"{'a': 0.7, 'e': 0.8801681225958563}",35,0,-231.62973204792294,"{0: 19, 1: 5, 2: 7, 3: 0, 4: 4}",0
114,False,"{'a': 0.7, 'e': 0.8780634907057998}",20,0,-160.35006601051373,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
115,False,"{'a': 0.7, 'e': 0.8759417365058098}",30,0,-95.16460382751895,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.7, 'e': 0.8738029013702666}",25,0,-113.02754515727335,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
117,False,"{'a': 0.7, 'e': 0.8716470270066305}",25,0,-34.92288803599441,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.7, 'e': 0.8694741554546281}",20,0,-58.09912703395807,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.7, 'e': 0.8672843290854325}",20,0,-70.43958442926099,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
